mask,bbdc3,bbdc4
2023 01 03 14 04 00.000,12.78,14.23
2023 01 03 14 05 00.000,12.78,14.23
2023 01 03 14 06 00.000,12.78,14.22
2023 01 03 14 07 00.000,12.78,14.23
2023 01 03 14 08 00.000,12.78,14.24
2023 01 03 14 09 00.000,12.78,14.24
2023 01 03 14 10 00.000,12.78,14.24
2023 01 03 14 11 00.000,12.78,14.23
2023 01 03 14 12 00.000,12.78,14.24
2023 01 03 14 13 00.000,12.78,14.24
2023 01 03 14 14 00.000,12.78,14.23
2023 01 03 14 15 00.000,12.78,14.24
2023 01 03 14 16 00.000,12.81,14.25
2023 01 03 14 17 00.000,12.81,14.25
2023 01 03 14 18 00.000,12.81,14.26
2023 01 03 14 19 00.000,12.8,14.21
2023 01 03 14 20 00.000,12.8,14.23
2023 01 03 14 21 00.000,12.8,14.22
2023 01 03 14 22 00.000,12.8,14.23
2023 01 03 14 23 00.000,12.8,14.23
2023 01 03 14 24 00.000,12.79,14.23
2023 01 03 14 25 00.000,12.79,14.24
2023 01 03 14 26 00.000,12.79,14.24
2023 01 03 14 27 00.000,12.79,14.23
2023 01 03 14 28 00.000,12.79,14.23
2023 01 03 14 29 00.000,12.8,14.24
2023 01 03 14 30 00.000,12.8,14.24
2023 01 03 14 31 00.000,12.8,14.25
2023 01 03 14 32 00.000,12.8,14.25
2023 01 03 14 33 00.000,12.81,14.25
2023 01 03 14 34 00.000,12.81,14.24
2023 01 03 14 35 00.000,12.81,14.23
2023 01 03 14 36 00.000,12.81,14.23
2023 01 03 14 37 00.000,12.81,14.23
2023 01 03 14 38 00.000,12.81,14.23
2023 01 03 14 39 00.000,12.8,14.24
2023 01 03 14 40 00.000,12.78,14.2
2023 01 03 14 41 00.000,12.78,14.22
2023 01 03 14 42 00.000,12.78,14.22
2023 01 03 14 43 00.000,12.75,14.18
2023 01 03 14 44 00.000,12.74,14.19
2023 01 03 14 45 00.000,12.74,14.17
2023 01 03 14 46 00.000,12.71,14.17
2023 01 03 14 47 00.000,12.72,14.17
2023 01 03 14 48 00.000,12.71,14.17
2023 01 03 14 49 00.000,12.72,14.18
2023 01 03 14 50 00.000,12.72,14.17
2023 01 03 14 51 00.000,12.72,14.17
2023 01 03 14 52 00.000,12.72,14.18
2023 01 03 14 53 00.000,12.72,14.18
2023 01 03 14 54 00.000,12.72,14.19
2023 01 03 14 55 00.000,12.72,14.19
2023 01 03 14 56 00.000,12.72,14.2
2023 01 03 14 57 00.000,12.72,14.2
2023 01 03 14 58 00.000,12.72,14.21
2023 01 03 14 59 00.000,12.76,14.22
2023 01 03 15 00 00.000,12.76,14.21
2023 01 03 15 01 00.000,12.76,14.22
2023 01 03 15 02 00.000,12.76,14.2
2023 01 03 15 03 00.000,12.76,14.2
2023 01 03 15 04 00.000,12.76,14.22
2023 01 03 15 05 00.000,12.76,14.22
2023 01 03 15 06 00.000,12.76,14.21
2023 01 03 15 07 00.000,12.76,14.19
2023 01 03 15 08 00.000,12.75,14.21
2023 01 03 15 09 00.000,12.75,14.2
2023 01 03 15 10 00.000,12.75,14.23
2023 01 03 15 11 00.000,12.75,14.21
2023 01 03 15 12 00.000,12.75,14.23
2023 01 03 15 13 00.000,12.75,14.23
2023 01 03 15 14 00.000,12.75,14.21
2023 01 03 15 15 00.000,12.75,14.19
2023 01 03 15 16 00.000,12.75,14.19
2023 01 03 15 17 00.000,12.75,14.2
2023 01 03 15 18 00.000,12.75,14.2
2023 01 03 15 19 00.000,12.75,14.2
2023 01 03 15 20 00.000,12.75,14.2
2023 01 03 15 21 00.000,12.75,14.19
2023 01 03 15 22 00.000,12.75,14.19
2023 01 03 15 23 00.000,12.76,14.2
2023 01 03 15 24 00.000,12.76,14.2
2023 01 03 15 25 00.000,12.76,14.2
2023 01 03 15 26 00.000,12.76,14.2
2023 01 03 15 27 00.000,12.76,14.19
2023 01 03 15 28 00.000,12.76,14.19
2023 01 03 15 29 00.000,12.76,14.19
2023 01 03 15 30 00.000,12.76,14.18
2023 01 03 15 31 00.000,12.76,14.18
2023 01 03 15 32 00.000,12.76,14.18
2023 01 03 15 33 00.000,12.76,14.19
2023 01 03 15 34 00.000,12.76,14.18
2023 01 03 15 35 00.000,12.76,14.18
2023 01 03 15 36 00.000,12.76,14.18
2023 01 03 15 37 00.000,12.76,14.2
2023 01 03 15 38 00.000,12.76,14.2
2023 01 03 15 39 00.000,12.76,14.17
2023 01 03 15 40 00.000,12.76,14.17
2023 01 03 15 41 00.000,12.73,14.15
2023 01 03 15 42 00.000,12.74,14.15
2023 01 03 15 43 00.000,12.74,14.15
2023 01 03 15 44 00.000,12.74,14.15
2023 01 03 15 45 00.000,12.72,14.15
2023 01 03 15 46 00.000,12.71,14.15
2023 01 03 15 47 00.000,12.7,14.15
2023 01 03 15 48 00.000,12.7,14.14
2023 01 03 15 49 00.000,12.7,14.16
2023 01 03 15 50 00.000,12.7,14.13
2023 01 03 15 51 00.000,12.7,14.13
2023 01 03 15 52 00.000,12.7,14.13
2023 01 03 15 53 00.000,12.7,14.15
2023 01 03 15 54 00.000,12.7,14.15
2023 01 03 15 55 00.000,12.7,14.14
2023 01 03 15 56 00.000,12.68,14.13
2023 01 03 15 57 00.000,12.68,14.11
2023 01 03 15 58 00.000,12.68,14.13
2023 01 03 15 59 00.000,12.68,14.12
2023 01 03 16 00 00.000,12.68,14.11
2023 01 03 16 01 00.000,12.68,14.11
2023 01 03 16 02 00.000,12.66,14.1
2023 01 03 16 03 00.000,12.66,14.1
2023 01 03 16 04 00.000,12.66,14.1
2023 01 03 16 05 00.000,12.66,14.11
2023 01 03 16 06 00.000,12.67,14.1
2023 01 03 16 07 00.000,12.67,14.1
2023 01 03 16 08 00.000,12.67,14.11
2023 01 03 16 09 00.000,12.67,14.1
2023 01 03 16 10 00.000,12.67,14.09
2023 01 03 16 11 00.000,12.67,14.08
2023 01 03 16 12 00.000,12.67,14.08
2023 01 03 16 13 00.000,12.67,14.07
2023 01 03 16 14 00.000,12.67,14.09
2023 01 03 16 15 00.000,12.67,14.09
2023 01 03 16 16 00.000,12.67,14.09
2023 01 03 16 17 00.000,12.67,14.07
2023 01 03 16 18 00.000,12.66,14.09
2023 01 03 16 19 00.000,12.64,14.04
2023 01 03 16 20 00.000,12.61,14.01
2023 01 03 16 21 00.000,12.61,14
2023 01 03 16 22 00.000,12.61,13.99
2023 01 03 16 23 00.000,12.6,14
2023 01 03 16 24 00.000,12.6,14.02
2023 01 03 16 25 00.000,12.6,14.03
2023 01 03 16 26 00.000,12.6,14.03
2023 01 03 16 27 00.000,12.6,14.04
2023 01 03 16 28 00.000,12.6,14.04
2023 01 03 16 29 00.000,12.6,14.03
2023 01 03 16 30 00.000,12.6,14.03
2023 01 03 16 31 00.000,12.6,14.03
2023 01 03 16 32 00.000,12.6,14.03
2023 01 03 16 33 00.000,12.61,14.01
2023 01 03 16 34 00.000,12.61,14.02
2023 01 03 16 35 00.000,12.61,14
2023 01 03 16 36 00.000,12.6,14
2023 01 03 16 37 00.000,12.6,14
2023 01 03 16 38 00.000,12.6,14.01
2023 01 03 16 39 00.000,12.6,14.01
2023 01 03 16 40 00.000,12.59,14
2023 01 03 16 41 00.000,12.59,14.02
2023 01 03 16 42 00.000,12.59,14.02
2023 01 03 16 43 00.000,12.59,14.03
2023 01 03 16 44 00.000,12.65,14.05
2023 01 03 16 45 00.000,12.65,14.07
2023 01 03 16 46 00.000,12.63,14.07
2023 01 03 16 47 00.000,12.63,14.08
2023 01 03 16 48 00.000,12.63,14.09
2023 01 03 16 49 00.000,12.65,14.11
2023 01 03 16 50 00.000,12.65,14.12
2023 01 03 16 51 00.000,12.64,14.12
2023 01 03 16 52 00.000,12.64,14.11
2023 01 03 16 53 00.000,12.64,14.13
2023 01 03 16 54 00.000,12.66,14.13
2023 01 03 16 55 00.000,12.64,14.12
2023 01 03 16 56 00.000,12.64,14.13
2023 01 03 16 57 00.000,12.65,14.14
2023 01 03 16 58 00.000,12.66,14.13
2023 01 03 16 59 00.000,12.64,14.12
2023 01 03 17 00 00.000,12.63,14.11
2023 01 03 17 01 00.000,12.64,14.1
2023 01 03 17 02 00.000,12.64,14.11
2023 01 03 17 03 00.000,12.63,14.11
2023 01 03 17 04 00.000,12.64,14.1
2023 01 03 17 05 00.000,12.63,14.11
2023 01 03 17 06 00.000,12.62,14.09
2023 01 03 17 07 00.000,12.6,14.07
2023 01 03 17 08 00.000,12.6,14.06
2023 01 03 17 09 00.000,12.6,14.06
2023 01 03 17 10 00.000,12.62,14.05
2023 01 03 17 11 00.000,12.6,14.05
2023 01 03 17 12 00.000,12.6,14.05
2023 01 03 17 13 00.000,12.6,14.05
2023 01 03 17 14 00.000,12.59,14.02
2023 01 03 17 15 00.000,12.59,14.04
2023 01 03 17 16 00.000,12.59,14.05
2023 01 03 17 17 00.000,12.59,14.03
2023 01 03 17 18 00.000,12.59,14.03
2023 01 03 17 19 00.000,12.59,14.03
2023 01 03 17 20 00.000,12.59,14.03
2023 01 03 17 21 00.000,12.58,14.02
2023 01 03 17 22 00.000,12.57,14
2023 01 03 17 23 00.000,12.55,14
2023 01 03 17 24 00.000,12.56,14
2023 01 03 17 25 00.000,12.56,14
2023 01 03 17 26 00.000,12.55,14
2023 01 03 17 27 00.000,12.55,13.98
2023 01 03 17 28 00.000,12.54,13.97
2023 01 03 17 29 00.000,12.54,13.96
2023 01 03 17 30 00.000,12.54,13.96
2023 01 03 17 31 00.000,12.54,13.96
2023 01 03 17 32 00.000,12.55,13.98
2023 01 03 17 33 00.000,12.55,13.97
2023 01 03 17 34 00.000,12.55,14
2023 01 03 17 35 00.000,12.56,14.01
2023 01 03 17 36 00.000,12.56,14.01
2023 01 03 17 37 00.000,12.56,14.02
2023 01 03 17 38 00.000,12.55,14.01
2023 01 03 17 39 00.000,12.55,14.02
2023 01 03 17 40 00.000,12.55,14.03
2023 01 03 17 41 00.000,12.57,14.04
2023 01 03 17 42 00.000,12.58,14.04
2023 01 03 17 43 00.000,12.58,14.06
2023 01 03 17 44 00.000,12.59,14.06
2023 01 03 17 45 00.000,12.56,14.01
2023 01 03 17 46 00.000,12.54,14
2023 01 03 17 47 00.000,12.52,14
2023 01 03 17 48 00.000,12.53,14.01
2023 01 03 17 49 00.000,12.53,14
2023 01 03 17 50 00.000,12.53,13.99
2023 01 03 17 51 00.000,12.53,14.01
2023 01 03 17 52 00.000,12.54,14.02
2023 01 03 17 53 00.000,12.54,14.01
2023 01 03 17 54 00.000,12.54,14.04
2023 01 03 18 07 00.000,12.54,14
2023 01 04 10 03 00.000,12.64,14
2023 01 04 10 04 00.000,12.68,14
2023 01 04 10 05 00.000,12.68,14
2023 01 04 10 06 00.000,12.69,14
